,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7
278,0.5082645,0.5082645,0.5082645,0.5413223,0.58677685,0.61570245,0.61157024,0.62396693
201,0.14876033,0.14876033,0.14876033,0.16528925,0.2644628,0.36363637,0.4214876,0.45454547
352,0.70247936,0.74380165,0.77272725,0.77272725,0.7644628,0.77272725,0.7933884,0.8057851
340,0.45454547,0.5041322,0.5041322,0.5041322,0.54545456,0.59090906,0.6198347,0.6280992
180,0.37603307,0.35950413,0.29338843,0.12396694,0.3140496,0.58264464,0.60330576,0.6198347
65,0.1570248,0.1983471,0.24380165,0.3553719,0.49586776,0.59917355,0.6280992,0.5785124
174,0.4338843,0.57024795,0.6404959,0.6446281,0.6198347,0.6322314,0.6487603,0.6487603
322,0.24793388,0.38842976,0.3966942,0.54545456,0.79752064,0.8347107,0.8719008,0.8677686
103,0.19421488,0.26859504,0.3677686,0.4876033,0.54545456,0.56198347,0.5785124,0.607438
45,0.5661157,0.59504133,0.60330576,0.6198347,0.6363636,0.6404959,0.661157,0.6818182
282,0.14876033,0.1570248,0.19008264,0.25619835,0.338843,0.40495867,0.44214877,0.4752066
80,0.13636364,0.14049587,0.18595041,0.28099173,0.3181818,0.36363637,0.4090909,0.41735536
386,0.35123968,0.4338843,0.553719,0.6487603,0.7066116,0.75206614,0.7892562,0.8181818
281,0.2107438,0.20661157,0.19421488,0.18181819,0.21900827,0.23966943,0.25619835,0.3429752
17,0.7066116,0.70247936,0.7355372,0.78099173,0.7892562,0.77272725,0.7892562,0.7892562
371,0.45454547,0.5206612,0.57024795,0.59090906,0.58264464,0.607438,0.6322314,0.6528926
96,0.6280992,0.6652893,0.6859504,0.6942149,0.71900827,0.73140496,0.75206614,0.76859504
299,0.54545456,0.57438016,0.58677685,0.59090906,0.59504133,0.6322314,0.6404959,0.6528926
376,0.38429752,0.58264464,0.7107438,0.78099173,0.8347107,0.8471074,0.8471074,0.8553719
44,0.32231405,0.4090909,0.45454547,0.47107437,0.48347107,0.47107437,0.5165289,0.5413223
8,0.6280992,0.6363636,0.5495868,0.45041323,0.6487603,0.77272725,0.8347107,0.8471074
192,0.21487603,0.2644628,0.3429752,0.41322315,0.49586776,0.5082645,0.5123967,0.5247934
377,0.54545456,0.55785125,0.59090906,0.60330576,0.62396693,0.62396693,0.6487603,0.677686
341,0.11157025,0.11157025,0.1446281,0.23140496,0.3140496,0.3553719,0.3677686,0.39256197
260,0.21487603,0.21900827,0.21900827,0.2231405,0.2107438,0.20247933,0.2768595,0.40082645
356,0.5123967,0.55785125,0.6198347,0.6528926,0.6652893,0.6818182,0.6942149,0.73966944
367,0.45454547,0.21487603,0.10330579,0.16115703,0.49173555,0.6322314,0.6694215,0.7066116
155,0.1446281,0.21900827,0.3264463,0.47107437,0.57024795,0.6446281,0.677686,0.7107438
240,0.37603307,0.3966942,0.41735536,0.46694216,0.5247934,0.59090906,0.6446281,0.6694215
21,0.661157,0.661157,0.6652893,0.6694215,0.70247936,0.72727275,0.74380165,0.75619835
248,0.3181818,0.41735536,0.47107437,0.5206612,0.5661157,0.58677685,0.61570245,0.607438
183,0.28099173,0.2892562,0.40082645,0.4876033,0.53305787,0.553719,0.607438,0.6404959
124,0.30991736,0.3677686,0.41735536,0.44214877,0.5289256,0.607438,0.6570248,0.677686
11,0.3305785,0.4090909,0.5495868,0.59917355,0.6198347,0.607438,0.62396693,0.6652893
209,0.23966943,0.3140496,0.38016528,0.43801653,0.5041322,0.5289256,0.59090906,0.6322314
331,0.71900827,0.7355372,0.7355372,0.74793386,0.76033056,0.7644628,0.7768595,0.7892562
303,0.15289256,0.18181819,0.2520661,0.33471075,0.37603307,0.4090909,0.4338843,0.45454547
369,0.6322314,0.6570248,0.677686,0.70247936,0.72727275,0.74793386,0.7644628,0.7644628
156,0.24380165,0.30578512,0.37190083,0.6363636,0.70247936,0.6983471,0.71487606,0.74793386
